"","loggerID","dateTime","DO_mgL","T_degC","P_mb","DO.sat","PAR","modelTime"
"124","415148",2021-08-26 05:22:00,7.19,16.069,849,8.22885884952189,0,5.36666666666667
"125","488982",2021-08-26 05:24:00,7.395,16.206,849,8.20476283478474,0,5.4
"126","511686",2021-08-26 05:24:00,7.591,16.04,849,8.23397536897039,0,5.4
"127","701237",2021-08-26 05:24:00,7.661,15.941,849,8.25148417036396,0,5.4
"128","432269",2021-08-26 05:25:00,7.633,16.005,849,8.24015790538166,0,5.41666666666667
"129","497232",2021-08-26 05:26:00,7.553,16.072,849,8.22832987231109,0,5.43333333333333
"130","567371",2021-08-26 05:26:00,7.483,16.042,849,8.23362232664217,0,5.43333333333333
"131","728987",2021-08-26 05:26:00,7.462,16.025,849,8.23662403199226,0,5.43333333333333
"132","493593",2021-08-26 05:27:00,7.354,16.059,849,8.23062253723966,0,5.45
"133","648356",2021-08-26 05:27:00,7.605,16.219,849,8.20248277278213,0,5.45
"134","702726",2021-08-26 05:27:00,7.414,16.073,849,8.22815355981231,0,5.45
"135","739125",2021-08-26 05:28:00,7.485,16.042,849,8.23362232664217,0,5.46666666666667
"136","467606",2021-08-26 05:30:00,7.315,16.038,849,8.23432843781977,0,5.5
"137","688268",2021-08-26 05:30:00,7.432,16.019,849,8.2376839151804,0,5.5
"138","736634",2021-08-26 05:31:00,7.491,15.987,849,8.24334066320355,0,5.51666666666667
"139","415148",2021-08-26 05:32:00,7.176,16.078,849,8.22727209658844,0,5.53333333333333
"140","488982",2021-08-26 05:34:00,7.396,16.206,849,8.20476283478474,0,5.56666666666667
"141","511686",2021-08-26 05:34:00,7.581,16.049,849,8.23238688730628,0,5.56666666666667
"142","701237",2021-08-26 05:34:00,7.664,15.915,849,8.2560932592395,0,5.56666666666667
"143","432269",2021-08-26 05:35:00,7.635,15.996,849,8.24174901512648,0,5.58333333333333
"144","497232",2021-08-26 05:36:00,7.555,16.047,849,8.23273983683296,0,5.6
"145","567371",2021-08-26 05:36:00,7.487,16.042,849,8.23362232664217,0,5.6
"146","728987",2021-08-26 05:36:00,7.463,16.025,849,8.23662403199226,0,5.6
"147","493593",2021-08-26 05:37:00,7.352,16.067,849,8.22921153409472,0,5.61666666666667
"148","648356",2021-08-26 05:37:00,7.597,16.236,849,8.19950282757192,0,5.61666666666667
"149","702726",2021-08-26 05:37:00,7.421,16.065,849,8.22956424515005,0,5.61666666666667
